candidate_id,fold,days,trades,total_return,annualized_return,annualized_volatility,sharpe,max_drawdown,win_rate,payoff_ratio,profit_factor,exposure,max_abs_net_exposure,turnover
sig-continuation-l20-q05-c2__risk-k1-r16-x20-s0.75-a2-t2.5,1,54,113,-0.023987525629121653,-0.10712282880550461,0.026262439249894458,-4.300532115433622,0.026443088368569345,0.26548672566371684,1.6385410209136522,0.5922437424989105,0.12226117440841368,0.2,45.22032335889525
sig-continuation-l20-q05-c2__risk-k1-r16-x20-s0.75-a3-t3,1,54,113,-0.024635117389736116,-0.1098841450476461,0.02664447460355949,-4.354693461609062,0.02708939821352252,0.26548672566371684,1.6080849878728547,0.5812355377853692,0.12261174408413673,0.2,45.219675443176776
sig-continuation-l20-q05-c2__risk-k1-r16-x20-s1-a2-t2.5,1,54,112,-0.024583402762802575,-0.10966388191363796,0.0253443399400265,-4.569635170524917,0.03207690161227883,0.29464285714285715,1.4975132692081559,0.625543517517331,0.15372480280455741,0.2,44.83133055650419
sig-continuation-l20-q05-c2__risk-k1-r16-x20-s1-a3-t3,1,54,112,-0.02523099452341704,-0.1124190197088587,0.02584507304383687,-4.600475435180848,0.03272330146227309,0.29464285714285715,1.4738990373633325,0.6156793447213921,0.15407537248028047,0.2,44.83068264078572
sig-continuation-l20-q05-c2__risk-k1-r16-x30-s0.75-a2-t2.5,1,54,113,-0.035981288443682535,-0.1571851800996309,0.03964957887115614,-4.29207670078568,0.039625413062520654,0.26548672566371684,1.6385410209136528,0.5922437424989107,0.1833917616126205,0.3,67.83048503834286
sig-continuation-l20-q05-c2__risk-k1-r16-x30-s0.75-a3-t3,1,54,113,-0.036952676084604286,-0.1611410658421376,0.040233446365531264,-4.3460752136368,0.040593919245144994,0.26548672566371684,1.608084987872855,0.5812355377853693,0.18391761612620505,0.3,67.82951316476516
sig-continuation-l20-q05-c2__risk-k1-r16-x30-s1-a2-t2.5,1,54,112,-0.03687510414420392,-0.1608256983862415,0.03830190984284289,-4.557382093512091,0.048071114307964846,0.29464285714285715,1.4975132692081556,0.6255435175173308,0.23058720420683612,0.3,67.24699583475629
sig-continuation-l20-q05-c2__risk-k1-r16-x30-s1-a3-t3,1,54,112,-0.03784649178512567,-0.1647681453676576,0.03906249936480004,-4.588370732128045,0.049039822615684625,0.29464285714285715,1.4738990373633323,0.615679344721392,0.23111305872042062,0.3,67.24602396117857
sig-continuation-l20-q05-c2__risk-k1-r32-x20-s0.75-a2-t2.5,1,54,60,-0.018382292916743093,-0.08293991444457516,0.021503658842595613,-4.015148661806717,0.019595609840821204,0.23333333333333334,1.6379269284844435,0.49849949997352627,0.0705521472392638,0.2,24.01129411386053
sig-continuation-l20-q05-c2__risk-k1-r32-x20-s0.75-a3-t3,1,54,60,-0.01914114506375797,-0.08624363895133724,0.022046525369038537,-4.07939545277069,0.020353524017640345,0.23333333333333334,1.5886719614619573,0.483508857836248,0.07843996494303243,0.2,24.009543395363274
sig-continuation-l20-q05-c2__risk-k1-r32-x20-s1-a2-t2.5,1,54,59,-0.02255339926452804,-0.10098378930346597,0.023055763308613034,-4.604947398397643,0.024602150788459953,0.2542372881355932,1.3916016269808587,0.47440964556165627,0.0817703768624014,0.2,23.616005143318812
sig-continuation-l20-q05-c2__risk-k1-r32-x20-s1-a3-t3,1,54,59,-0.02249931238709446,-0.10075161335391969,0.022534093312526458,-4.700620061247418,0.024179943309575957,0.2711864406779661,1.2636120136633275,0.47018121438635446,0.09000876424189307,0.2,23.615243229960356
sig-continuation-l20-q05-c2__risk-k1-r32-x30-s0.75-a2-t2.5,1,54,60,-0.027573439375114694,-0.12232891258828493,0.03235052688535803,-4.0164926137021855,0.02937526029019788,0.23333333333333334,1.6379269284844444,0.49849949997352655,0.1058282208588957,0.3,36.016941170790794
sig-continuation-l20-q05-c2__risk-k1-r32-x30-s0.75-a3-t3,1,54,60,-0.028711717595637065,-0.12711298950351768,0.03317489238077419,-4.0805524118459635,0.030511429381262056,0.23333333333333334,1.5886719614619578,0.4835088578362481,0.11765994741454865,0.3,36.014315093044914
sig-continuation-l20-q05-c2__risk-k1-r32-x30-s1-a2-t2.5,1,54,59,-0.033830098896792116,-0.1483724845215154,0.03471044067030797,-4.608487105002214,0.036880433371570986,0.2542372881355932,1.3916016269808587,0.4744096455616564,0.1226555652936021,0.3,35.42400771497822
sig-continuation-l20-q05-c2__risk-k1-r32-x30-s1-a3-t3,1,54,59,-0.0337489685806418,-0.14803871014883707,0.03393435689746814,-4.703122012127949,0.036247513309912605,0.2711864406779661,1.2636120136633278,0.47018121438635446,0.1350131463628396,0.3,35.422864844940534
sig-continuation-l20-q05-c2__risk-k2-r16-x20-s0.75-a2-t2.5,1,54,223,-0.024779097464625588,-0.11049715999484766,0.016818562250612335,-6.952233231904274,0.02550354216784212,0.242152466367713,1.7356491285550437,0.5545861120826767,0.12231995556939264,0.2,44.96754695899401
sig-continuation-l20-q05-c2__risk-k2-r16-x20-s0.75-a3-t3,1,54,223,-0.026142115173050318,-0.11628397709138505,0.01687738887440497,-7.31448505979867,0.026865547355968467,0.242152466367713,1.658970786622862,0.5300853401043464,0.12248621428883974,0.2,44.96618325943581
sig-continuation-l20-q05-c2__risk-k2-r16-x20-s1-a2-t2.5,1,54,219,-0.022997867071025024,-0.10288995001843271,0.01609195131753464,-6.737919274939994,0.02473251858392278,0.2785388127853881,1.595896892847798,0.6161374079982005,0.1482063032051387,0.2,44.15589082283442
sig-continuation-l20-q05-c2__risk-k2-r16-x20-s1-a3-t3,1,54,219,-0.024360884779449754,-0.1087156438571999,0.016330206478136124,-7.038160243204533,0.0260948475498618,0.2785388127853881,1.5369695331761752,0.5933869716692829,0.14837256192458578,0.2,44.154527123276225
sig-continuation-l20-q05-c2__risk-k2-r16-x30-s0.75-a2-t2.5,1,54,223,-0.03716864619693838,-0.16201859829125032,0.025382690120674418,-6.948878272031954,0.038241109511278015,0.242152466367713,1.7356491285550444,0.554586112082677,0.18347993335408896,0.3,67.45132043849101
sig-continuation-l20-q05-c2__risk-k2-r16-x30-s0.75-a3-t3,1,54,223,-0.039213172759575476,-0.17029026236259182,0.025485484940580127,-7.30970945397134,0.04028335874910127,0.242152466367713,1.6589707866228627,0.5300853401043467,0.18372932143325957,0.3,67.4492748891537
sig-continuation-l20-q05-c2__risk-k2-r16-x30-s1-a2-t2.5,1,54,219,-0.03449680060653759,-0.15111144080811956,0.02430707107589409,-6.725786137633531,0.03708940710605224,0.2785388127853881,1.595896892847798,0.6161374079982005,0.22230945480770803,0.3,66.23383623425164
sig-continuation-l20-q05-c2__risk-k2-r16-x30-s1-a3-t3,1,54,219,-0.03654132716917469,-0.15946767061952194,0.024679120300157224,-7.02460598991405,0.03913238438952715,0.2785388127853881,1.5369695331761755,0.5933869716692829,0.22255884288687866,0.3,66.23179068491433
sig-continuation-l20-q05-c2__risk-k2-r32-x20-s0.75-a2-t2.5,1,54,116,-0.016782375081371925,-0.07594378994687856,0.01440977643540098,-5.473232136627473,0.01814866074971533,0.21551724137931033,1.862553031428305,0.5116903932495344,0.07641350065775188,0.2,24.345870009016032
sig-continuation-l20-q05-c2__risk-k2-r32-x20-s0.75-a3-t3,1,54,116,-0.018001584993978526,-0.08127894019854576,0.015010540058298917,-5.639226164497827,0.019366176440220872,0.21551724137931033,1.7446764394201175,0.4793067141264059,0.0801758518074144,0.2,24.344251680237228
sig-continuation-l20-q05-c2__risk-k2-r32-x20-s1-a2-t2.5,1,54,114,-0.02223116505640843,-0.09959985527315829,0.015971040838263267,-6.559928446437891,0.02363383246016104,0.23684210526315788,1.470908210394871,0.45648875495013236,0.07990048552183648,0.2,23.948349768732378
sig-continuation-l20-q05-c2__risk-k2-r32-x20-s1-a3-t3,1,54,114,-0.0230596858289982,-0.10315481642960533,0.016278017946981995,-6.6788446982429575,0.02433886945484065,0.24561403508771928,1.3310998977790585,0.4333813620676004,0.08383928031344419,0.2,23.947246426636845
sig-continuation-l20-q05-c2__risk-k2-r32-x30-s0.75-a2-t2.5,1,54,116,-0.025173562622057832,-0.11217495040508152,0.02169342980615617,-5.472687917883569,0.027204089633771078,0.21551724137931033,1.8625530314283054,0.5116903932495345,0.1146202509866278,0.3,36.518805013524045
sig-continuation-l20-q05-c2__risk-k2-r32-x30-s0.75-a3-t3,1,54,116,-0.02700237749096779,-0.11992104554553873,0.02260283492690593,-5.639130304459989,0.029029095149704642,0.21551724137931033,1.7446764394201182,0.4793067141264061,0.1202637777111216,0.3,36.51637752035584
sig-continuation-l20-q05-c2__risk-k2-r32-x30-s1-a2-t2.5,1,54,114,-0.033346747584612646,-0.14638243363808479,0.024075057956252463,-6.560212087386678,0.035427554669491546,0.23684210526315788,1.4709082103948714,0.45648875495013247,0.11985072828275471,0.3,35.92252465309856
sig-continuation-l20-q05-c2__risk-k2-r32-x30-s1-a3-t3,1,54,114,-0.03458952874349741,-0.15149183932023558,0.024541779175961453,-6.679468754826476,0.036484418244839834,0.24561403508771928,1.331099897779058,0.4333813620676003,0.12575892047016626,0.3,35.920869639955264
sig-continuation-l20-q05-c3__risk-k1-r16-x20-s0.75-a2-t2.5,1,54,113,-0.023987525629121653,-0.10712282880550461,0.026262439249894458,-4.300532115433622,0.026443088368569345,0.26548672566371684,1.6385410209136522,0.5922437424989105,0.12226117440841368,0.2,45.22032335889525
sig-continuation-l20-q05-c3__risk-k1-r16-x20-s0.75-a3-t3,1,54,113,-0.024635117389736116,-0.1098841450476461,0.02664447460355949,-4.354693461609062,0.02708939821352252,0.26548672566371684,1.6080849878728547,0.5812355377853692,0.12261174408413673,0.2,45.219675443176776
sig-continuation-l20-q05-c3__risk-k1-r16-x20-s1-a2-t2.5,1,54,112,-0.024583402762802575,-0.10966388191363796,0.0253443399400265,-4.569635170524917,0.03207690161227883,0.29464285714285715,1.4975132692081559,0.625543517517331,0.15372480280455741,0.2,44.83133055650419
sig-continuation-l20-q05-c3__risk-k1-r16-x20-s1-a3-t3,1,54,112,-0.02523099452341704,-0.1124190197088587,0.02584507304383687,-4.600475435180848,0.03272330146227309,0.29464285714285715,1.4738990373633325,0.6156793447213921,0.15407537248028047,0.2,44.83068264078572
sig-continuation-l20-q05-c3__risk-k1-r16-x30-s0.75-a2-t2.5,1,54,113,-0.035981288443682535,-0.1571851800996309,0.03964957887115614,-4.29207670078568,0.039625413062520654,0.26548672566371684,1.6385410209136528,0.5922437424989107,0.1833917616126205,0.3,67.83048503834286
sig-continuation-l20-q05-c3__risk-k1-r16-x30-s0.75-a3-t3,1,54,113,-0.036952676084604286,-0.1611410658421376,0.040233446365531264,-4.3460752136368,0.040593919245144994,0.26548672566371684,1.608084987872855,0.5812355377853693,0.18391761612620505,0.3,67.82951316476516
sig-continuation-l20-q05-c3__risk-k1-r16-x30-s1-a2-t2.5,1,54,112,-0.03687510414420392,-0.1608256983862415,0.03830190984284289,-4.557382093512091,0.048071114307964846,0.29464285714285715,1.4975132692081556,0.6255435175173308,0.23058720420683612,0.3,67.24699583475629
sig-continuation-l20-q05-c3__risk-k1-r16-x30-s1-a3-t3,1,54,112,-0.03784649178512567,-0.1647681453676576,0.03906249936480004,-4.588370732128045,0.049039822615684625,0.29464285714285715,1.4738990373633323,0.615679344721392,0.23111305872042062,0.3,67.24602396117857
sig-continuation-l20-q05-c3__risk-k1-r32-x20-s0.75-a2-t2.5,1,54,60,-0.018382292916743093,-0.08293991444457516,0.021503658842595613,-4.015148661806717,0.019595609840821204,0.23333333333333334,1.6379269284844435,0.49849949997352627,0.0705521472392638,0.2,24.01129411386053
sig-continuation-l20-q05-c3__risk-k1-r32-x20-s0.75-a3-t3,1,54,60,-0.01914114506375797,-0.08624363895133724,0.022046525369038537,-4.07939545277069,0.020353524017640345,0.23333333333333334,1.5886719614619573,0.483508857836248,0.07843996494303243,0.2,24.009543395363274
sig-continuation-l20-q05-c3__risk-k1-r32-x20-s1-a2-t2.5,1,54,59,-0.02255339926452804,-0.10098378930346597,0.023055763308613034,-4.604947398397643,0.024602150788459953,0.2542372881355932,1.3916016269808587,0.47440964556165627,0.0817703768624014,0.2,23.616005143318812
sig-continuation-l20-q05-c3__risk-k1-r32-x20-s1-a3-t3,1,54,59,-0.02249931238709446,-0.10075161335391969,0.022534093312526458,-4.700620061247418,0.024179943309575957,0.2711864406779661,1.2636120136633275,0.47018121438635446,0.09000876424189307,0.2,23.615243229960356
