candidate,fold,cost_bps,days,trades,total_return,annualized_return,annualized_volatility,sharpe,max_drawdown,win_rate,payoff_ratio,profit_factor,exposure,max_abs_net_exposure,turnover
continuation,1,5,54,46,-0.000945487681486834,-0.004404634059376411,0.007281177174992553,-0.6026939617159652,0.0034060225498901975,0.3695652173913043,1.513326064322454,0.8871221756373006,0.03572285688494071,0.2,9.205492503501407
continuation,2,5,51,40,-0.010620042701353416,-0.05138868721041179,0.008656100771671879,-6.0897943371170555,0.010676678613347867,0.225,0.6156050366894213,0.17872404290983201,0.021721157806494654,0.16634910124897487,7.999588142554674
continuation,3,5,44,64,-0.009763973436788476,-0.054645920390028024,0.012383707616498854,-4.531316161625356,0.011994606328259882,0.28125,1.357318103401106,0.531124475243911,0.05241831137512182,0.2,12.79482436187538
reversal,1,5,54,46,-0.00488775264527519,-0.02260600525897105,0.006732150970725428,-3.3929952573241327,0.007322318023917251,0.2391304347826087,1.8085532335045913,0.5684024448157287,0.019548542731261914,0.2,9.202372056615008
reversal,2,5,51,40,-0.0018814028033599106,-0.009261940862552387,0.006478974649734078,-1.4329978211055485,0.004031078776337238,0.375,1.2309961830644762,0.7385977098386858,0.03531922609101897,0.2,8.000454178133161
reversal,3,5,44,62,-5.681799494650086e-05,-0.0003253684540587276,0.011938357541266556,-0.021426302114846616,0.0043766616584814955,0.3870967741935484,1.5774658403424686,0.9962942149531381,0.05206064397920167,0.2,12.407422522713752
timeseries_donchian,1,5,54,16,0.001738983241838632,0.008141167686936512,0.0056134682817604335,1.4471947464836186,0.00238349450148867,0.4375,2.243794354050999,1.7451733864841101,0.012839614373356704,0.1,3.2030780941642245
timeseries_donchian,2,5,51,20,-0.0063308773509014316,-0.030894137005753053,0.007367953521157058,-4.255300296854382,0.0063308773509014316,0.15,1.0945878917689678,0.19316256913570018,0.01117440841367222,0.10000000000000002,4.000897357617127
timeseries_donchian,3,5,44,36,-0.007959485765420826,-0.04473695376968889,0.009199274701127635,-4.970283819057777,0.01065787570527632,0.2222222222222222,1.3811941051213585,0.394626887177531,0.027649109553681415,0.2,7.198172458718725
