symbol,track,entry_time,exit_time,side,lots,entry_price,exit_price,entry_fee,exit_fee,slippage_cost,gross_pnl,net_pnl,exit_reason,holding_bars,regime
AG_IDX,real,2025-09-27 02:00:00,2025-09-27 02:00:00,SHORT,3,10957.0,10932.2,24.65325,24.597450000000002,90.0,1115.9999999999673,1066.7492999999672,take_profit_sma5,0,REAL_HISTORY
AG_IDX,real,2025-10-09 22:45:00,2025-10-09 22:45:00,LONG,1,11242.0,11284.4,8.4315,8.4633,30.0,635.9999999999945,619.1051999999945,take_profit_sma5,0,REAL_HISTORY
AG_IDX,real,2025-10-20 23:30:00,2025-10-21 00:00:00,SHORT,2,11929.0,11938.6,17.8935,17.9079,60.0,-288.0000000000109,-323.8014000000109,take_profit_sma5,2,REAL_HISTORY
AG_IDX,real,2025-10-24 23:45:00,2025-10-24 23:45:00,SHORT,3,11469.0,11469.6,25.80525,25.8066,90.0,-27.00000000001637,-78.61185000001637,take_profit_sma5,0,REAL_HISTORY
AG_IDX,real,2025-11-04 11:00:00,2025-11-04 11:15:00,LONG,4,11294.0,11292.4,33.882000000000005,33.8772,120.0,-96.00000000002183,-163.75920000002185,take_profit_sma5,1,REAL_HISTORY
AG_IDX,real,2025-11-04 13:30:00,2025-11-04 13:30:00,LONG,4,11281.0,11279.2,33.843,33.8376,120.0,-107.99999999995634,-175.68059999995637,take_profit_sma5,0,REAL_HISTORY
AG_IDX,real,2025-11-04 14:15:00,2025-11-04 14:15:00,LONG,3,11220.0,11231.4,25.245,25.27065,90.0,512.9999999999836,462.48434999998364,take_profit_sma5,0,REAL_HISTORY
AG_IDX,real,2025-11-06 21:30:00,2025-11-06 21:45:00,SHORT,4,11467.0,11455.4,34.401,34.3662,120.0,696.0000000000218,627.2328000000218,take_profit_sma5,1,REAL_HISTORY
AG_IDX,real,2025-11-10 21:00:00,2025-11-10 21:30:00,SHORT,2,11810.0,11759.8,17.715,17.6397,60.0,1506.0000000000218,1470.645300000022,take_profit_sma5,2,REAL_HISTORY
AG_IDX,real,2025-11-11 23:45:00,2025-11-11 23:45:00,LONG,3,11840.0,11863.4,26.64,26.69265,90.0,1052.9999999999836,999.6673499999836,take_profit_sma5,0,REAL_HISTORY
AG_IDX,real,2025-11-12 21:45:00,2025-11-12 21:45:00,SHORT,3,12068.0,12067.8,27.153000000000002,27.15255,90.0,9.000000000032742,-45.30554999996726,take_profit_sma5,0,REAL_HISTORY
AG_IDX,real,2025-11-12 23:30:00,2025-11-13 00:00:00,SHORT,2,12255.0,12294.2,18.3825,18.441300000000002,60.0,-1176.0000000000218,-1212.8238000000217,take_profit_sma5,2,REAL_HISTORY
AG_IDX,real,2025-11-13 21:30:00,2025-11-13 22:00:00,LONG,2,12505.0,12491.0,18.7575,18.7365,60.0,-420.0,-457.49399999999997,take_profit_sma5,2,REAL_HISTORY
AG_IDX,real,2025-11-18 22:00:00,2025-11-18 22:00:00,SHORT,3,11864.0,11863.6,26.694000000000003,26.6931,90.0,17.99999999998363,-35.387100000016375,take_profit_sma5,0,REAL_HISTORY
AG_IDX,real,2025-11-25 00:00:00,2025-11-25 00:00:00,SHORT,3,11926.0,11928.0,26.8335,26.838,90.0,-90.0,-143.6715,take_profit_sma5,0,REAL_HISTORY
AG_IDX,real,2025-11-27 09:00:00,2025-11-27 09:00:00,SHORT,3,12474.0,12425.0,28.0665,27.95625,90.0,2205.0,2148.97725,take_profit_sma5,0,REAL_HISTORY
AG_IDX,real,2025-12-03 14:00:00,2025-12-03 14:15:00,LONG,1,13586.0,13644.4,10.1895,10.2333,30.0,875.9999999999945,855.5771999999946,take_profit_sma5,1,REAL_HISTORY
AG_IDX,real,2025-12-03 21:00:00,2025-12-03 21:00:00,LONG,1,13694.0,13692.0,10.2705,10.269,30.0,-30.0,-50.5395,take_profit_sma5,0,REAL_HISTORY
