date,start_equity,end_equity,cash,market_value,daily_return,drawdown,turnover,trading_cost
2026-05-11,1000000.0,999092.23825,564541.23825,434551.0,-0.0009077617499999469,0.0009077617499999469,864535.0,907.7617500000001
2026-05-12,999092.23825,994491.23825,564541.23825,427449.0,-0.004605180406624983,0.005508761749999947,0.0,0.0
2026-05-13,994491.23825,998499.23825,564541.23825,430017.0,0.004030201419424119,0.001500761749999947,0.0,0.0
2026-05-14,998499.23825,1001506.23825,564541.23825,425200.0,0.0030115195733851127,0.0,0.0,0.0
2026-05-15,1001506.23825,1006643.23825,564541.23825,421336.0,0.0051292740911691465,0.0,0.0,0.0
2026-05-18,1006643.23825,1011355.12165,585979.12165,426376.0,0.004680787811371298,0.0,1500692.0,1765.1166
2026-05-19,1011355.12165,1004038.12165,585979.12165,426900.0,-0.007234847427343327,0.007234847427343327,0.0,0.0
2026-05-20,1004038.12165,1009681.12165,585979.12165,424849.0,0.005620304526611497,0.0016552049464770712,0.0,0.0
2026-05-21,1009681.12165,1008984.12165,585979.12165,421482.0,-0.0006903169575568345,0.0023443792879911203,0.0,0.0
2026-05-22,1008984.12165,1007672.12165,585979.12165,419761.0,-0.0013003177868195544,0.0036416486367234486,0.0,0.0
2026-05-25,1007672.12165,999234.1566500001,555031.1566500001,444775.0,-0.00837372079539445,0.011984875283199048,1298820.0,1488.9650000000001
2026-05-26,999234.1566500001,1016767.1566500001,555031.1566500001,456912.0,0.017546437822722718,0.0,0.0,0.0
2026-05-27,1016767.1566500001,1011015.1566500001,555031.1566500001,447754.0,-0.005657145751001082,0.005657145751001082,0.0,0.0
2026-05-28,1011015.1566500001,995752.1566500001,555031.1566500001,439815.0,-0.01509670740305612,0.020668448879917898,0.0,0.0
2026-05-29,995752.1566500001,1005687.1566500001,555031.1566500001,443930.0,0.00997738235729685,0.010897283539828231,0.0,0.0
2026-06-01,1005687.1566500001,1010033.1620500002,565910.1620500002,447203.0,0.004321428757703151,0.00662294661659494,1279692.0,1512.9946000000004
2026-06-02,1010033.1620500002,995115.1620500002,565910.1620500002,445485.0,-0.014769812081933906,0.02129493902157306,0.0,0.0
2026-06-03,995115.1620500002,988212.1620500002,565910.1620500002,446802.0,-0.006936885561847318,0.02808410402838121,0.0,0.0
2026-06-04,988212.1620500002,977674.1620500002,565910.1620500002,444593.0,-0.010663701991017202,0.03844832550335503,0.0,0.0
2026-06-05,977674.1620500002,987833.1620500002,565910.1620500002,444411.0,0.010390987503135477,0.0284568540700414,0.0,0.0
2026-06-08,987833.1620500002,977373.8899500007,550365.8899500007,432968.0,-0.010588095745129552,0.03874364591967217,1284472.0,1538.2721000000001
2026-06-09,977373.8899500007,977533.8899500007,550365.8899500007,439836.0,0.0001637039843658859,0.038586284424512195,0.0,0.0
2026-06-10,977533.8899500007,976069.8899500007,550365.8899500007,434983.0,-0.0014976462862836206,0.04002614210522597,0.0,0.0
2026-06-11,976069.8899500007,976057.8899500007,550365.8899500007,435248.0,-1.2294201597197821e-05,0.04003794421736296,0.0,0.0
